metric.__name__,metric.container_id,metric.container_name,metric.container_namespace,metric.instance,metric.job,metric.mode,metric.pod_name,time,joules
kepler_container_joules_total,d40a597ad8c94c4175e47f29cc235d51be2015662cbeea353ee091354a0ad16b,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28896390-hn55m,1733783477.15,3544.656
kepler_container_joules_total,6a270ca4d4aeddfa644705df9817ca185c4b593c19aa4a8a13e43c167978e962,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28896375-bl9hp,1733782576.827,4619.391
kepler_container_joules_total,d7b075c936b1fb7137bd0bf0a09d8439bdce1cce9b186a92ee13a0952af4887c,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28896360-m6knr,1733781676.459,3624.84
kepler_container_joules_total,ffc1944eb73f526f8ea8d8ac913adf9e9eaf5ffd22197dc5895b5848a3725742,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28896345-fj95v,1733780776.036,4630.572
kepler_container_joules_total,a6fe75ac164ac8e8a2c76a45c8d679b152e4d8b53786e369cd87c19df1c7ec44,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28896330-hzrt4,1733779875.631,3661.101
kepler_container_joules_total,0fcb9c89750302c7bc629707b1389f8e41ae875956d87bd9e01c534f5087cdbb,uc2-workload,uc2,10.14.1.164:9102,kepler,dynamic,uc2-workload-service-28896315-s8nrd,1733778975.203,3717.078
kepler_container_joules_total,5a433a8f6246b59df14b6f95c2d6999d02c5bac4c7f887bb0ad2f93fd1cfdb53,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28896300-vmwx7,1733778074.891,4616.937
kepler_container_joules_total,a6db40e29d443232f9be7055926a054110bb08fd9a57212c1d87af86317430ef,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28896285-n8x2x,1733777174.524,4598.064
kepler_container_joules_total,f06f45571aba41ee85bf33d0c03c9bc13e875b6b590f0184cab740af943f801c,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28896270-w6d8k,1733776274.164,4580.157
kepler_container_joules_total,3331bb14e7418d338e921f29e04fbbb350a41174ec0eb37a6dc0c75b664710ae,uc2-workload,uc2,10.14.1.166:9102,kepler,dynamic,uc2-workload-service-28896255-tw2ks,1733775373.779,4568.955
